Games played: 6100, Wins: 35, Losses: 59, Draws: 6, Win rate: 37.23404%, Epsilon: 0.7371
Games played: 6200, Wins: 31, Losses: 62, Draws: 7, Win rate: 33.33334%, Epsilon: 0.7334
Games played: 6300, Wins: 32, Losses: 57, Draws: 11, Win rate: 35.95506%, Epsilon: 0.7297
Games played: 6400, Wins: 31, Losses: 62, Draws: 7, Win rate: 33.33334%, Epsilon: 0.7261
Games played: 6500, Wins: 38, Losses: 53, Draws: 9, Win rate: 41.75824%, Epsilon: 0.7225
Games played: 6600, Wins: 39, Losses: 54, Draws: 7, Win rate: 41.93548%, Epsilon: 0.7189
Games played: 6700, Wins: 40, Losses: 53, Draws: 7, Win rate: 43.01075%, Epsilon: 0.7153
Games played: 6800, Wins: 30, Losses: 62, Draws: 8, Win rate: 32.6087%, Epsilon: 0.7117
Games played: 6900, Wins: 26, Losses: 68, Draws: 6, Win rate: 27.65957%, Epsilon: 0.7082
Games played: 7000, Wins: 33, Losses: 57, Draws: 10, Win rate: 36.66667%, Epsilon: 0.7046
Games played: 7100, Wins: 32, Losses: 58, Draws: 10, Win rate: 35.55556%, Epsilon: 0.7011
Games played: 7200, Wins: 39, Losses: 56, Draws: 5, Win rate: 41.05263%, Epsilon: 0.6976
Games played: 7300, Wins: 37, Losses: 55, Draws: 8, Win rate: 40.21739%, Epsilon: 0.6941
Games played: 7400, Wins: 34, Losses: 60, Draws: 6, Win rate: 36.17021%, Epsilon: 0.6907
Games played: 7500, Wins: 32, Losses: 62, Draws: 6, Win rate: 34.04255%, Epsilon: 0.6872
Games played: 7600, Wins: 37, Losses: 54, Draws: 9, Win rate: 40.65934%, Epsilon: 0.6838
Games played: 7700, Wins: 34, Losses: 60, Draws: 6, Win rate: 36.17021%, Epsilon: 0.6804
Games played: 7800, Wins: 25, Losses: 73, Draws: 2, Win rate: 25.5102%, Epsilon: 0.6770
Games played: 7900, Wins: 31, Losses: 65, Draws: 4, Win rate: 32.29166%, Epsilon: 0.6736
Games played: 8000, Wins: 31, Losses: 65, Draws: 4, Win rate: 32.29166%, Epsilon: 0.6703
Games played: 8100, Wins: 39, Losses: 59, Draws: 2, Win rate: 39.79592%, Epsilon: 0.6669
Games played: 8200, Wins: 29, Losses: 66, Draws: 5, Win rate: 30.52632%, Epsilon: 0.6636
Games played: 8300, Wins: 32, Losses: 59, Draws: 9, Win rate: 35.16484%, Epsilon: 0.6603
Games played: 8400, Wins: 35, Losses: 52, Draws: 13, Win rate: 40.22989%, Epsilon: 0.6570
Games played: 8500, Wins: 25, Losses: 68, Draws: 7, Win rate: 26.88172%, Epsilon: 0.6537
Games played: 8600, Wins: 32, Losses: 62, Draws: 6, Win rate: 34.04255%, Epsilon: 0.6505
Games played: 8700, Wins: 29, Losses: 64, Draws: 7, Win rate: 31.1828%, Epsilon: 0.6472
Games played: 8800, Wins: 40, Losses: 52, Draws: 8, Win rate: 43.47826%, Epsilon: 0.6440
Games played: 8900, Wins: 30, Losses: 60, Draws: 10, Win rate: 33.33334%, Epsilon: 0.6408
Games played: 9000, Wins: 28, Losses: 65, Draws: 7, Win rate: 30.10753%, Epsilon: 0.6376
Games played: 9100, Wins: 27, Losses: 66, Draws: 7, Win rate: 29.03226%, Epsilon: 0.6344
Games played: 9200, Wins: 33, Losses: 61, Draws: 6, Win rate: 35.10638%, Epsilon: 0.6312
Games played: 9300, Wins: 42, Losses: 51, Draws: 7, Win rate: 45.16129%, Epsilon: 0.6281
Games played: 9400, Wins: 30, Losses: 60, Draws: 10, Win rate: 33.33334%, Epsilon: 0.6249
Games played: 9500, Wins: 32, Losses: 59, Draws: 9, Win rate: 35.16484%, Epsilon: 0.6218
Games played: 9600, Wins: 42, Losses: 57, Draws: 1, Win rate: 42.42424%, Epsilon: 0.6187
Games played: 9700, Wins: 37, Losses: 62, Draws: 1, Win rate: 37.37374%, Epsilon: 0.6156
Games played: 9800, Wins: 35, Losses: 61, Draws: 4, Win rate: 36.45834%, Epsilon: 0.6126
Games played: 9900, Wins: 40, Losses: 53, Draws: 7, Win rate: 43.01075%, Epsilon: 0.6095
Games played: 10000, Wins: 39, Losses: 56, Draws: 5, Win rate: 41.05263%, Epsilon: 0.6065
Games played: 10100, Wins: 39, Losses: 56, Draws: 5, Win rate: 41.05263%, Epsilon: 0.6034
Games played: 10200, Wins: 40, Losses: 57, Draws: 3, Win rate: 41.23711%, Epsilon: 0.6004
Games played: 10300, Wins: 38, Losses: 57, Draws: 5, Win rate: 40%, Epsilon: 0.5974
Games played: 10400, Wins: 40, Losses: 55, Draws: 5, Win rate: 42.10526%, Epsilon: 0.5945
Games played: 10500, Wins: 34, Losses: 63, Draws: 3, Win rate: 35.05154%, Epsilon: 0.5915
Games played: 10600, Wins: 36, Losses: 62, Draws: 2, Win rate: 36.7347%, Epsilon: 0.5885
Games played: 10700, Wins: 31, Losses: 63, Draws: 6, Win rate: 32.97872%, Epsilon: 0.5856
Games played: 10800, Wins: 30, Losses: 65, Draws: 5, Win rate: 31.57895%, Epsilon: 0.5827
Games played: 10900, Wins: 30, Losses: 63, Draws: 7, Win rate: 32.25806%, Epsilon: 0.5798
Games played: 11000, Wins: 35, Losses: 58, Draws: 7, Win rate: 37.63441%, Epsilon: 0.5769
Games played: 11100, Wins: 31, Losses: 64, Draws: 5, Win rate: 32.63158%, Epsilon: 0.5740
Games played: 11200, Wins: 34, Losses: 52, Draws: 14, Win rate: 39.53489%, Epsilon: 0.5711
Games played: 11300, Wins: 31, Losses: 62, Draws: 7, Win rate: 33.33334%, Epsilon: 0.5683
Games played: 11400, Wins: 43, Losses: 51, Draws: 6, Win rate: 45.74468%, Epsilon: 0.5655
Games played: 11500, Wins: 29, Losses: 65, Draws: 6, Win rate: 30.85106%, Epsilon: 0.5626
Games played: 11600, Wins: 28, Losses: 68, Draws: 4, Win rate: 29.16667%, Epsilon: 0.5598
Games played: 11700, Wins: 35, Losses: 57, Draws: 8, Win rate: 38.04348%, Epsilon: 0.5570
Games played: 11800, Wins: 38, Losses: 51, Draws: 11, Win rate: 42.69663%, Epsilon: 0.5543
Games played: 11900, Wins: 33, Losses: 60, Draws: 7, Win rate: 35.48387%, Epsilon: 0.5515
Games played: 12000, Wins: 39, Losses: 56, Draws: 5, Win rate: 41.05263%, Epsilon: 0.5487
Games played: 12100, Wins: 32, Losses: 62, Draws: 6, Win rate: 34.04255%, Epsilon: 0.5460
Games played: 12200, Wins: 32, Losses: 62, Draws: 6, Win rate: 34.04255%, Epsilon: 0.5433
Games played: 12300, Wins: 39, Losses: 53, Draws: 8, Win rate: 42.3913%, Epsilon: 0.5406
Games played: 12400, Wins: 36, Losses: 60, Draws: 4, Win rate: 37.5%, Epsilon: 0.5379
Games played: 12500, Wins: 36, Losses: 58, Draws: 6, Win rate: 38.29787%, Epsilon: 0.5352
Games played: 12600, Wins: 31, Losses: 63, Draws: 6, Win rate: 32.97872%, Epsilon: 0.5325
Games played: 12700, Wins: 40, Losses: 55, Draws: 5, Win rate: 42.10526%, Epsilon: 0.5299
Games played: 12800, Wins: 39, Losses: 56, Draws: 5, Win rate: 41.05263%, Epsilon: 0.5272
Games played: 12900, Wins: 37, Losses: 55, Draws: 8, Win rate: 40.21739%, Epsilon: 0.5246
Games played: 13000, Wins: 39, Losses: 57, Draws: 4, Win rate: 40.625%, Epsilon: 0.5220
Games played: 13100, Wins: 42, Losses: 53, Draws: 5, Win rate: 44.21053%, Epsilon: 0.5194
Games played: 13200, Wins: 42, Losses: 52, Draws: 6, Win rate: 44.68085%, Epsilon: 0.5168
Games played: 13300, Wins: 39, Losses: 56, Draws: 5, Win rate: 41.05263%, Epsilon: 0.5142
Games played: 13400, Wins: 37, Losses: 55, Draws: 8, Win rate: 40.21739%, Epsilon: 0.5116
Games played: 13500, Wins: 33, Losses: 56, Draws: 11, Win rate: 37.07865%, Epsilon: 0.5091
Games played: 13600, Wins: 29, Losses: 62, Draws: 9, Win rate: 31.86813%, Epsilon: 0.5066
Games played: 13700, Wins: 39, Losses: 51, Draws: 10, Win rate: 43.33333%, Epsilon: 0.5040
Games played: 13800, Wins: 32, Losses: 57, Draws: 11, Win rate: 35.95506%, Epsilon: 0.5015
Games played: 13900, Wins: 41, Losses: 53, Draws: 6, Win rate: 43.61702%, Epsilon: 0.4990
Games played: 14000, Wins: 35, Losses: 60, Draws: 5, Win rate: 36.84211%, Epsilon: 0.4965
Games played: 14100, Wins: 41, Losses: 53, Draws: 6, Win rate: 43.61702%, Epsilon: 0.4940
Games played: 14200, Wins: 36, Losses: 56, Draws: 8, Win rate: 39.13044%, Epsilon: 0.4916
Games played: 14300, Wins: 36, Losses: 58, Draws: 6, Win rate: 38.29787%, Epsilon: 0.4891
Games played: 14400, Wins: 32, Losses: 65, Draws: 3, Win rate: 32.98969%, Epsilon: 0.4867
Games played: 14500, Wins: 42, Losses: 53, Draws: 5, Win rate: 44.21053%, Epsilon: 0.4843
Games played: 14600, Wins: 38, Losses: 51, Draws: 11, Win rate: 42.69663%, Epsilon: 0.4818
Games played: 14700, Wins: 34, Losses: 61, Draws: 5, Win rate: 35.78947%, Epsilon: 0.4794
Games played: 14800, Wins: 34, Losses: 59, Draws: 7, Win rate: 36.55914%, Epsilon: 0.4770
Games played: 14900, Wins: 25, Losses: 60, Draws: 15, Win rate: 29.41177%, Epsilon: 0.4747
Games played: 15000, Wins: 37, Losses: 55, Draws: 8, Win rate: 40.21739%, Epsilon: 0.4723
Games played: 15100, Wins: 26, Losses: 63, Draws: 11, Win rate: 29.21348%, Epsilon: 0.4699
Games played: 15200, Wins: 42, Losses: 53, Draws: 5, Win rate: 44.21053%, Epsilon: 0.4676
Games played: 15300, Wins: 34, Losses: 60, Draws: 6, Win rate: 36.17021%, Epsilon: 0.4653
Games played: 15400, Wins: 32, Losses: 65, Draws: 3, Win rate: 32.98969%, Epsilon: 0.4629
Games played: 15500, Wins: 45, Losses: 48, Draws: 7, Win rate: 48.3871%, Epsilon: 0.4606
Games played: 15600, Wins: 34, Losses: 56, Draws: 10, Win rate: 37.77778%, Epsilon: 0.4583
Games played: 15700, Wins: 35, Losses: 56, Draws: 9, Win rate: 38.46154%, Epsilon: 0.4561
Games played: 15800, Wins: 30, Losses: 59, Draws: 11, Win rate: 33.70787%, Epsilon: 0.4538
Games played: 15900, Wins: 38, Losses: 59, Draws: 3, Win rate: 39.17526%, Epsilon: 0.4515
Games played: 16000, Wins: 37, Losses: 54, Draws: 9, Win rate: 40.65934%, Epsilon: 0.4493
Games played: 16100, Wins: 41, Losses: 53, Draws: 6, Win rate: 43.61702%, Epsilon: 0.4470
Games played: 16200, Wins: 37, Losses: 54, Draws: 9, Win rate: 40.65934%, Epsilon: 0.4448
Games played: 16300, Wins: 44, Losses: 48, Draws: 8, Win rate: 47.82609%, Epsilon: 0.4426
Games played: 16400, Wins: 41, Losses: 53, Draws: 6, Win rate: 43.61702%, Epsilon: 0.4404
Games played: 16500, Wins: 32, Losses: 59, Draws: 9, Win rate: 35.16484%, Epsilon: 0.4382
Games played: 16600, Wins: 32, Losses: 60, Draws: 8, Win rate: 34.78261%, Epsilon: 0.4360
Games played: 16700, Wins: 39, Losses: 52, Draws: 9, Win rate: 42.85714%, Epsilon: 0.4338
Games played: 16800, Wins: 33, Losses: 61, Draws: 6, Win rate: 35.10638%, Epsilon: 0.4316
Games played: 16900, Wins: 42, Losses: 51, Draws: 7, Win rate: 45.16129%, Epsilon: 0.4295
Games played: 17000, Wins: 34, Losses: 61, Draws: 5, Win rate: 35.78947%, Epsilon: 0.4273
Games played: 17100, Wins: 40, Losses: 53, Draws: 7, Win rate: 43.01075%, Epsilon: 0.4252
Games played: 17200, Wins: 42, Losses: 51, Draws: 7, Win rate: 45.16129%, Epsilon: 0.4231
Games played: 17300, Wins: 41, Losses: 56, Draws: 3, Win rate: 42.26804%, Epsilon: 0.4210
Games played: 17400, Wins: 42, Losses: 54, Draws: 4, Win rate: 43.75%, Epsilon: 0.4189
Games played: 17500, Wins: 40, Losses: 58, Draws: 2, Win rate: 40.81633%, Epsilon: 0.4168
Games played: 17600, Wins: 41, Losses: 52, Draws: 7, Win rate: 44.08602%, Epsilon: 0.4147
Games played: 17700, Wins: 41, Losses: 49, Draws: 10, Win rate: 45.55556%, Epsilon: 0.4126
Games played: 17800, Wins: 36, Losses: 53, Draws: 11, Win rate: 40.44944%, Epsilon: 0.4106
Games played: 17900, Wins: 50, Losses: 48, Draws: 2, Win rate: 51.02041%, Epsilon: 0.4085
Games played: 18000, Wins: 29, Losses: 61, Draws: 10, Win rate: 32.22222%, Epsilon: 0.4065
Games played: 18100, Wins: 46, Losses: 47, Draws: 7, Win rate: 49.46236%, Epsilon: 0.4045
Games played: 18200, Wins: 33, Losses: 61, Draws: 6, Win rate: 35.10638%, Epsilon: 0.4025
Games played: 18300, Wins: 38, Losses: 53, Draws: 9, Win rate: 41.75824%, Epsilon: 0.4004
Games played: 18400, Wins: 40, Losses: 57, Draws: 3, Win rate: 41.23711%, Epsilon: 0.3984
Games played: 18500, Wins: 35, Losses: 60, Draws: 5, Win rate: 36.84211%, Epsilon: 0.3965
Games played: 18600, Wins: 35, Losses: 58, Draws: 7, Win rate: 37.63441%, Epsilon: 0.3945
Games played: 18700, Wins: 39, Losses: 55, Draws: 6, Win rate: 41.48936%, Epsilon: 0.3925
Games played: 18800, Wins: 40, Losses: 53, Draws: 7, Win rate: 43.01075%, Epsilon: 0.3906
Games played: 18900, Wins: 33, Losses: 66, Draws: 1, Win rate: 33.33334%, Epsilon: 0.3886
Games played: 19000, Wins: 46, Losses: 46, Draws: 8, Win rate: 50%, Epsilon: 0.3867
Games played: 19100, Wins: 46, Losses: 48, Draws: 6, Win rate: 48.93617%, Epsilon: 0.3847
Games played: 19200, Wins: 45, Losses: 46, Draws: 9, Win rate: 49.45055%, Epsilon: 0.3828
